#G	time_to_stabilize
#G_graz: 0.0578561
0.18	149.652
#starting from: -8.57272	-7.05704
0.18	149.652
#starting from: -7.74289	-7.31513
0.18	149.652
#starting from: -7.75253	-7.49213
0.18	149.652
#starting from: -8.24583	-8.25521
0.18	149.652
#starting from: -7.5628	-7.22121
0.18	149.652
#starting from: -8.08974	-8.68024
0.18	149.652
#starting from: -7.82147	-8.87966
0.18	149.652
#starting from: -7.52055	-8.16233
0.18	149.652
#starting from: -8.42332	-8.91663
0.18	149.652
#starting from: -7.18397	-8.77799
0.18	149.652
#starting from: -8.85136	-8.6364
0.18	149.652
#starting from: -7.34263	-8.67111
0.18	149.652
#starting from: -7.00516	-7.31091
0.18	149.652
#starting from: -8.42841	-7.75081
0.18	149.652
#starting from: -7.28375	-8.92021
0.18	149.652
#starting from: -7.66208	-7.52261
0.18	149.652
#starting from: -7.23721	-7.83107
0.18	149.652
#starting from: -8.84623	-7.31509
0.18	149.652
#starting from: -7.1193	-8.16365
0.18	149.652
#starting from: -8.38329	-8.32373
0.18	149.652
#starting from: -8.90399	-8.17429
0.18	149.652
#starting from: -8.68973	-7.95636
0.18	149.652
#starting from: -8.09285	-8.59606
0.18	149.652
#starting from: -7.81677	-7.5843
0.18	149.652
#starting from: -8.35089	-8.44576
0.18	149.652
#starting from: -8.57879	-7.47066
0.18	149.652
#starting from: -7.23371	-8.08252
0.18	149.652
#starting from: -7.82975	-7.31356
0.18	149.652
#starting from: -7.15881	-7.79227
0.18	149.652
#starting from: -7.47371	-7.45343
0.18	149.652
#starting from: -7.90077	-8.46363
0.18	149.652
#starting from: -8.29902	-8.68974
0.18	149.652
#starting from: -8.54077	-7.81378
0.18	149.652
#starting from: -8.12771	-7.6179
0.18	149.652
#starting from: -7.23731	-7.57512
0.18	149.652
#starting from: -8.34217	-7.3623
0.18	149.652
#starting from: -7.98404	-8.9456
0.18	149.652
#starting from: -8.86675	-8.80336
0.18	149.652
#starting from: -7.24218	-7.43736
0.18	149.652
#starting from: -8.59306	-7.05435
0.18	149.652
#starting from: -7.68425	-8.74995
0.18	149.652
#starting from: -7.79531	-8.96527
0.18	149.652
#starting from: -7.09327	-8.66678
0.18	149.652
#starting from: -7.15684	-8.22591
0.18	149.652
#starting from: -8.88321	-7.34319
0.18	149.652
#starting from: -8.69463	-7.17153
0.18	149.652
#starting from: -8.76634	-8.65538
0.18	149.652
#starting from: -7.92196	-8.10153
0.18	149.652
#starting from: -7.13891	-7.86609
0.18	149.652
#starting from: -7.96718	-8.4466
0.18	149.652
#starting from: -8.56068	-7.66106
0.18	149.652
#starting from: -8.51751	-7.19063
0.18	149.652
#starting from: -7.34125	-7.12757
0.18	149.652
#starting from: -8.62162	-8.14832
0.18	149.652
#starting from: -8.06777	-8.38165
0.18	149.652
#starting from: -8.1765	-8.44804
0.18	149.652
#starting from: -8.38652	-7.72767
0.18	149.652
#starting from: -7.66999	-7.96407
0.18	149.652
#starting from: -8.59688	-7.69213
0.18	149.652
#starting from: -8.73187	-8.85349
0.18	149.652
#starting from: -7.45737	-7.86932
0.18	149.652
#starting from: -7.26407	-8.84216
0.18	149.652
#starting from: -8.42015	-7.88629
0.18	149.652
#starting from: -7.53082	-8.99387
0.18	149.652
#starting from: -8.23571	-8.66312
0.18	149.652
#starting from: -8.93527	-7.1936
0.18	149.652
#starting from: -8.80735	-7.24938
0.18	149.652
#starting from: -8.34113	-8.93084
0.18	149.652
#starting from: -8.83703	-8.37821
0.18	149.652
#starting from: -8.73203	-8.94187
0.18	149.652
#starting from: -8.17742	-8.28182
0.18	149.652
#starting from: -7.65682	-7.89146
0.18	149.652
#starting from: -8.88034	-8.80322
0.18	149.652
#starting from: -8.04374	-8.40394
0.18	149.652
#starting from: -7.15364	-8.04552
