#F	time_to_stabilize
#F_graz: 0.393094
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.979202	0.590474
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.029
#starting from: -0.954553	0.644071
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.02112	0.481942
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.848392	0.824939
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.984503	0.578107
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.894611	0.754119
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.982621	0.582534
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.900003	0.74516
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.817122	0.867654
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.878935	0.779287
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.844356	0.830668
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.978527	0.592025
#stretch: 48
#F: 0.322577	Period: 1
0.322577	325.313
#starting from: -0.943654	0.665993
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.805376	0.882767
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.991622	0.560962
#stretch: 49
#F: 0.322577	Period: 1
0.322577	312.746
#starting from: -0.934095	0.684443
#stretch: 47
#F: 0.322577	Period: 1
0.322577	331.596
#starting from: -1.09152	0.160654
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.029
#starting from: -1.06972	0.302009
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.883407	0.772236
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.00031	0.539137
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.902281	0.741326
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.872967	0.788545
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.965635	0.620714
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.05291	0.375149
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.0324	0.447317
#stretch: 43
#F: 0.322577	Period: 1
0.322577	356.729
#starting from: -1.08081	0.241029
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.870313	0.792606
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.04813	0.393302
#stretch: 49
#F: 0.322577	Period: 1
0.322577	312.746
#starting from: -0.908479	0.730741
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.815061	0.87034
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.832263	0.847441
#stretch: 41
#F: 0.322577	Period: 1
0.322577	369.295
#starting from: -1.08768	0.193419
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.969614	0.612044
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.05338	0.373308
#stretch: 5
#F: 0.322577	Period: 1
0.322577	275.047
#starting from: -0.836074	0.842218
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.854117	0.816698
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.847991	0.825512
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.01869	0.489007
#stretch: 48
#F: 0.322577	Period: 1
0.322577	325.313
#starting from: -0.95412	0.644961
#stretch: 7
#F: 0.322577	Period: 1
0.322577	262.481
#starting from: -0.865113	0.80047
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -1.09763	0.0850262
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
#starting from: -0.998476	0.543824
#stretch: 49
#F: 0.322577	Period: 1
0.322577	319.03
