#G	time_to_stabilize
#G_graz: 0.0578561
0.24	105.796
#starting from: -7.5722	-7.308
0.24	105.796
#starting from: -7.72813	-7.26392
0.24	105.796
#starting from: -7.22498	-8.7048
0.24	105.796
#starting from: -7.31881	-7.3889
0.24	105.796
#starting from: -7.69899	-8.55949
0.24	105.796
#starting from: -7.57011	-7.64688
0.24	105.796
#starting from: -8.69725	-7.96228
0.24	105.796
#starting from: -7.93891	-7.74055
0.24	105.796
#starting from: -8.19993	-7.92369
0.24	105.796
#starting from: -7.6729	-7.19123
0.24	105.796
#starting from: -8.92063	-7.45068
0.24	105.796
#starting from: -8.39176	-8.29844
0.24	105.796
#starting from: -8.89048	-7.65829
0.24	105.796
#starting from: -8.69833	-7.70843
0.24	105.796
#starting from: -8.92289	-7.10165
0.24	105.796
#starting from: -8.16073	-8.65794
0.24	105.796
#starting from: -8.35543	-8.02464
0.24	105.796
#starting from: -7.45604	-8.80962
0.24	105.796
#starting from: -8.78531	-8.71085
0.24	105.796
#starting from: -7.61167	-7.52764
0.24	105.796
#starting from: -8.21457	-7.21206
0.24	105.796
#starting from: -7.03567	-8.95434
0.24	105.796
#starting from: -8.16056	-7.06591
0.24	105.796
#starting from: -7.89087	-7.30755
0.24	105.796
#starting from: -7.55665	-8.55781
0.24	105.796
#starting from: -8.90556	-7.51517
0.24	105.796
#starting from: -8.37978	-7.6397
0.24	105.796
#starting from: -7.89516	-8.03601
0.24	105.796
#starting from: -7.73012	-8.83287
0.24	105.796
#starting from: -8.23125	-8.71646
0.24	105.796
#starting from: -7.71316	-8.91908
0.24	105.796
#starting from: -7.1481	-8.34416
0.24	105.796
#starting from: -8.28084	-7.29625
0.24	105.796
#starting from: -7.64901	-7.67316
0.24	105.796
#starting from: -8.379	-7.35231
0.24	105.796
#starting from: -7.55045	-7.27744
0.24	105.796
#starting from: -8.44245	-8.37532
0.24	105.796
#starting from: -8.50538	-7.7387
0.24	105.796
#starting from: -8.5607	-8.92667
0.24	105.796
#starting from: -8.96352	-8.43084
0.24	105.796
#starting from: -8.96002	-7.54503
0.24	105.796
#starting from: -8.59464	-7.49297
0.24	105.796
#starting from: -8.16641	-7.75964
0.24	105.796
#starting from: -8.61005	-8.48271
0.24	105.796
#starting from: -8.08328	-7.27343
0.24	105.796
#starting from: -7.54953	-8.52702
0.24	105.796
#starting from: -8.23328	-8.57357
0.24	105.796
#starting from: -8.86504	-7.13622
0.24	105.796
#starting from: -8.30177	-8.02497
0.24	105.796
#starting from: -8.58028	-7.87692
0.24	105.796
#starting from: -7.77472	-8.01018
0.24	105.796
#starting from: -7.27433	-7.94164
0.24	105.796
#starting from: -7.71685	-7.38615
0.24	105.796
#starting from: -7.82019	-7.82674
0.24	105.796
#starting from: -7.17596	-8.72659
0.24	105.796
#starting from: -7.39489	-7.79729
0.24	105.796
#starting from: -7.65279	-8.2036
0.24	105.796
#starting from: -8.47577	-7.45635
0.24	105.796
#starting from: -7.47932	-8.81925
0.24	105.796
#starting from: -7.71572	-8.55574
0.24	105.796
#starting from: -8.92713	-7.13824
0.24	105.796
#starting from: -8.35905	-8.28518
0.24	105.796
#starting from: -7.96289	-7.95395
0.24	105.796
#starting from: -7.67453	-7.58162
0.24	105.796
#starting from: -7.73814	-8.23077
0.24	105.796
#starting from: -8.94543	-7.3562
0.24	105.796
#starting from: -7.38554	-8.61291
0.24	105.796
#starting from: -7.73003	-8.62646
0.24	105.796
#starting from: -7.99947	-8.97818
0.24	105.796
#starting from: -8.37992	-8.31187
0.24	105.796
#starting from: -7.33393	-8.71078
0.24	105.796
#starting from: -7.3114	-7.97639
0.24	105.796
#starting from: -7.76434	-7.39943
0.24	105.796
#starting from: -7.80592	-8.87762
0.24	105.796
#starting from: -7.87301	-7.37181
0.24	105.796
#starting from: -7.80627	-8.31135
0.24	105.796
#starting from: -7.7869	-8.51613
0.24	105.796
#starting from: -8.96055	-8.22185
0.24	105.796
#starting from: -8.38942	-8.01793
0.24	105.796
#starting from: -8.01445	-8.44899
0.24	105.796
#starting from: -7.88989	-7.26202
0.24	105.796
#starting from: -7.64042	-8.48965
0.24	105.796
#starting from: -7.17965	-7.10303
0.24	105.796
#starting from: -8.37781	-7.87399
0.24	105.796
#starting from: -8.92068	-7.5693
0.24	105.796
#starting from: -7.35455	-7.78598
0.24	105.796
#starting from: -8.53255	-8.29503
0.24	105.796
#starting from: -8.24133	-7.19447
0.24	105.796
#starting from: -8.45313	-7.19511
0.24	105.796
#starting from: -7.54055	-7.91313
0.24	105.796
#starting from: -7.56889	-7.50546
0.24	105.796
#starting from: -7.12627	-7.07696
0.24	105.796
#starting from: -7.51214	-8.82102
0.24	105.796
#starting from: -7.10558	-8.49166
0.24	105.796
#starting from: -7.72191	-7.10228
0.24	105.796
#starting from: -8.02912	-7.08764
0.24	105.796
#starting from: -7.07992	-8.74585
0.24	105.796
#starting from: -7.88723	-8.23923
0.24	105.796
#starting from: -8.03999	-8.6934
0.24	105.796
#starting from: -8.43869	-7.93008
0.24	105.796
#starting from: -7.02277	-8.29909
0.24	105.796
#starting from: -8.21528	-8.54279
0.24	105.796
#starting from: -8.45919	-7.47842
0.24	105.796
#starting from: -7.85221	-8.28857
0.24	105.796
#starting from: -8.50386	-7.80935
0.24	105.796
#starting from: -8.23846	-7.24046
0.24	105.796
#starting from: -7.73958	-8.42619
0.24	105.796
#starting from: -7.42855	-7.33639
0.24	105.796
#starting from: -8.45155	-7.61623
0.24	105.796
#starting from: -7.15328	-8.08615
0.24	105.796
#starting from: -7.65416	-8.76872
0.24	105.796
#starting from: -8.78526	-7.08282
0.24	105.796
#starting from: -7.85194	-8.75108
0.24	105.796
#starting from: -7.99365	-7.36344
0.24	105.796
#starting from: -8.93752	-7.43527
0.24	105.796
#starting from: -8.8526	-7.70719
0.24	105.796
#starting from: -8.22558	-7.00957
0.24	105.796
#starting from: -8.51561	-8.32847
0.24	105.796
#starting from: -7.5245	-7.98723
0.24	105.796
#starting from: -7.59708	-7.16153
0.24	105.796
#starting from: -8.76058	-8.81874
0.24	105.796
#starting from: -7.10112	-7.11138
0.24	105.796
#starting from: -8.20027	-8.7194
0.24	105.796
#starting from: -7.75187	-8.49213
0.24	105.796
#starting from: -7.06379	-8.27583
0.24	105.796
#starting from: -7.82528	-7.05415
0.24	105.796
